episode,score,elapsed_time
1,350,5.32
2,900,11.18
3,1700,22.74
4,1400,14.2
5,1250,9.33
6,1400,12.86
7,650,10.66
8,1300,12.6
9,1950,20.66
10,2700,17.52
11,650,2.53
12,1350,14.8
13,750,6.0
14,500,6.2
15,800,4.93
16,500,6.72
17,2150,19.86
18,1350,10.19
19,1550,13.67
20,1650,13.13
21,1050,11.47
22,700,7.0
23,1650,7.34
24,1650,8.47
25,800,5.0
26,700,3.99
27,950,5.87
28,4600,35.41
29,850,3.6
30,3350,17.15
31,1200,11.65
32,1000,6.99
33,2150,13.01
34,850,3.4
35,850,2.21
36,1200,7.13
37,1550,10.67
38,2750,28.92
39,1600,7.94
40,1150,8.26
41,2400,20.14
42,950,5.93
43,1100,13.06
44,2050,14.4
45,1050,8.94
46,800,2.73
47,1400,14.93
48,850,14.93
49,4350,16.74
50,2200,11.59
51,900,5.06
52,1400,13.47
53,1700,11.8
54,750,4.26
55,2700,13.8
56,1750,10.86
57,2500,13.08
58,2650,18.94
59,1500,6.13
60,3600,44.51
61,1950,5.92
62,2950,12.27
63,1750,9.39
64,1700,8.8
65,2650,17.2
66,1100,5.53
67,1700,12.87
68,1350,9.73
69,1300,12.81
70,2900,28.39
71,1100,7.94
72,1450,13.53
73,2000,8.73
74,1600,14.01
75,2050,9.54
76,2600,12.4
77,4700,50.19
78,1750,9.85
79,750,5.73
80,2150,7.87
81,2350,14.72
82,1650,9.93
83,4750,28.78
84,850,5.08
85,1250,6.67
86,1150,11.86
87,1550,7.67
88,2250,14.47
89,1650,8.0
90,1550,13.74
91,2950,19.72
92,4000,33.6
93,4400,22.94
94,4150,18.33
95,5250,25.39
96,1750,7.99
97,4550,10.73
98,3900,12.45
99,3150,11.35
100,1000,3.4
101,4200,25.61
102,1700,5.81
103,2200,6.6
104,5400,18.44
105,2050,7.33
106,1100,10.26
107,1950,10.2
108,5150,15.6
109,1600,4.6
110,3450,13.26
111,2100,8.8
112,5200,16.98
113,4350,21.99
114,1900,9.65
115,2050,10.54
116,2850,10.45
117,4500,16.16
118,1250,3.54
119,4100,17.27
120,4000,12.48
121,2150,10.6
122,1350,3.73
123,3400,8.94
124,3800,17.65
125,2200,16.6
126,4550,48.39
127,5600,22.38
128,4800,18.79
129,4350,16.27
130,4450,16.88
131,4550,17.68
132,1750,4.67
133,1850,4.27
134,6000,29.75
135,1400,4.73
136,3600,10.13
137,3550,10.74
138,2150,9.28
139,1500,4.67
140,2950,17.87
141,1600,4.14
142,4900,13.95
143,4650,11.48
144,3950,12.4
145,4900,47.36
146,6300,42.91
147,4000,14.48
148,2050,3.93
149,2800,13.4
150,6200,24.48
151,4750,10.54
152,6050,17.01
153,6500,23.22
154,1550,4.0
155,1800,8.07
156,2500,5.94
157,1600,3.87
158,2100,16.93
159,4550,12.61
160,3950,11.93
161,5550,17.76
162,5300,46.17
163,5000,23.21
164,6350,22.61
165,2450,7.47
166,5900,19.4
167,4300,22.54
168,5200,14.21
169,6450,27.95
170,1800,4.67
171,7950,36.69
172,3150,7.61
173,1200,3.2
174,4000,11.33
175,5000,14.01
176,1750,7.0
177,1600,3.54
178,6350,18.63
179,2450,8.68
180,5050,17.92
181,5200,16.14
182,1300,3.66
183,7800,21.82
184,2450,19.61
185,3950,22.46
186,6150,14.4
187,3800,8.68
188,4600,12.2
189,2100,6.74
190,9150,24.19
191,4250,15.49
192,950,4.07
193,3200,7.0
194,5500,18.87
195,1250,2.2
196,2050,6.4
197,7150,21.67
198,4800,18.12
199,5750,21.99
200,5050,14.79
201,3450,12.74
202,2800,13.59
203,6250,23.73
204,2750,6.28
205,8900,32.4
206,1600,3.2
207,4700,23.54
208,4400,18.6
209,2600,9.41
210,3850,8.2
211,5350,28.59
212,3950,24.27
213,3850,17.54
214,2400,5.0
215,3700,60.02
216,4950,12.0
217,3150,37.87
218,6450,23.87
219,5100,24.01
220,4750,15.81
221,6950,42.27
222,3550,7.0
223,5100,14.8
224,5000,12.6
225,2600,12.53
226,5050,10.87
227,6000,18.34
228,4650,10.4
229,2850,6.66
230,6800,28.21
231,2900,6.07
232,5800,17.0
233,2250,5.2
234,1750,4.07
235,4550,12.01
236,4850,60.08
237,3000,5.41
238,2150,4.2
239,6150,50.16
240,7950,22.62
241,5600,21.86
242,7250,25.29
243,4800,16.4
244,2100,14.2
245,4450,60.04
246,6750,15.13
247,5700,22.07
248,6850,36.95
249,5250,42.01
250,3450,18.34
251,850,7.87
252,1000,12.11
253,2300,7.22
254,5650,23.93
255,5350,30.59
256,800,6.6
257,1250,12.86
258,650,9.81
259,500,3.26
260,1350,8.2
261,2000,16.85
262,2600,27.6
263,3150,18.4
264,4900,20.55
265,2300,18.09
266,2850,22.41
267,1900,60.02
268,4050,23.17
269,4200,18.39
270,1100,13.31
271,2800,60.02
272,3350,24.6
273,4300,22.47
274,550,12.01
275,4350,22.92
276,700,12.48
277,900,11.87
278,5300,18.99
279,3250,12.72
280,2150,60.02
281,1550,6.53
282,7050,48.64
283,4950,25.66
284,950,10.94
285,6100,43.32
286,6000,32.39
287,6850,23.96
288,1800,15.28
289,450,11.81
290,5600,60.06
291,4050,27.06
292,8500,31.0
293,2100,9.99
294,650,3.6
295,5200,21.99
296,2200,12.26
297,3950,27.87
298,2850,25.99
299,2550,42.01
300,5300,46.46
301,7750,30.87
302,9650,60.0
303,2050,13.79
304,3200,24.92
305,6850,33.93
306,4100,21.98
307,1850,13.33
308,800,12.33
309,2300,11.94
310,5150,23.77
311,6950,43.09
312,1850,7.4
313,2050,9.33
314,1400,11.0
315,1600,10.33
316,1850,8.26
317,2400,24.6
318,950,12.26
319,650,10.4
320,500,11.74
321,600,11.74
322,3600,17.99
323,3450,17.11
324,5150,39.45
325,2350,13.66
326,9100,60.02
327,3150,8.41
328,7300,43.46
329,3800,21.61
330,500,3.73
331,6700,60.05
332,3700,23.98
333,650,11.54
334,450,11.21
335,4850,60.05
336,400,10.81
337,450,11.82
338,2700,13.01
339,550,10.01
340,2800,22.94
341,500,11.61
342,550,11.67
343,500,11.66
344,3950,37.9
345,600,8.33
346,650,5.8
347,2850,14.93
348,9900,57.65
349,1250,9.4
350,6500,30.88
351,3800,54.64
352,4650,20.73
353,7300,24.8
354,7200,32.66
355,3500,22.33
356,6400,60.07
357,2100,14.78
358,7850,42.4
359,1750,14.18
360,4300,22.87
361,3900,14.93
362,5600,20.85
363,4650,17.14
364,600,6.33
365,5400,23.86
366,1250,10.2
367,2750,22.53
368,7200,45.7
369,3800,13.6
370,6300,22.86
371,3500,15.65
372,3100,10.52
373,4700,22.12
374,850,17.62
375,1000,11.53
376,4600,19.4
377,7500,60.07
378,5600,60.04
379,2300,16.33
380,5800,60.07
381,10600,39.54
382,4700,25.74
383,1050,7.8
384,4450,24.53
385,6650,60.07
386,2850,13.52
387,3300,20.59
388,4250,11.26
389,4900,22.67
390,10600,45.79
391,8350,35.46
392,5600,14.59
393,7750,55.59
394,4650,18.52
395,5100,19.07
396,6950,60.04
397,7800,37.46
398,6950,60.07
399,7050,60.01
400,4150,23.32
401,7650,53.37
402,1950,15.33
403,7300,36.27
404,1300,3.8
405,800,11.47
406,9250,41.81
407,6600,60.05
408,1900,15.53
409,3350,22.07
410,7050,60.04
411,450,7.4
412,9400,55.48
413,1100,15.65
414,450,9.67
415,400,11.27
416,600,11.86
417,4250,60.03
418,2100,8.53
419,4250,19.98
420,7100,48.66
421,900,13.33
422,10100,50.46
423,4400,11.2
424,4400,18.33
425,6800,31.67
426,10650,60.03
427,3050,18.1
428,6850,60.03
429,7150,60.03
430,2850,15.06
431,850,9.86
432,3950,60.03
433,1250,9.73
434,1050,11.33
435,700,10.47
436,6150,27.1
437,550,3.4
438,6400,37.75
439,1750,15.94
440,1950,11.25
441,10150,50.37
442,750,15.05
443,3100,46.11
444,1900,14.57
445,750,9.52
446,10200,60.02
447,5050,60.03
448,4600,14.12
449,13250,56.11
450,2700,28.52
451,2400,20.6
452,5300,36.59
453,5350,19.33
454,4100,29.0
455,2250,15.2
456,3950,42.6
457,4550,60.03
458,4800,19.65
459,5350,18.58
460,1550,15.94
461,1500,12.79
462,10500,60.08
463,5400,24.08
464,6200,60.06
465,7750,55.79
466,4500,37.19
467,6900,44.94
468,4200,22.99
469,1100,16.6
470,2000,27.52
471,4200,24.06
472,7900,60.06
473,7100,40.27
474,9450,54.39
475,2200,14.61
476,6950,23.88
477,4100,16.95
478,5850,32.06
479,5450,60.03
480,10800,50.66
481,4350,13.12
482,4100,17.6
483,5250,41.58
484,1500,6.46
485,6900,38.48
486,2050,13.06
487,5350,60.08
488,9850,60.06
489,5550,35.6
490,7250,23.07
491,2100,16.95
492,7050,60.06
493,4050,37.79
494,8900,39.94
495,1550,9.8
496,7850,55.86
497,6200,39.58
498,2550,20.6
499,5800,28.86
500,4100,19.53
